year,age,media_activity,sample_size,ever_used
2015,15-19,Listen to the radio,188,11.2
2015,15-19,Play video games,188,29.8
2015,15-19,Read books,188,4.8
2015,15-19,Listen to music,188,72.3
2015,20-29,Watch MediaCorp TV,395,8.9
2015,20-29,Watch Singtel TV,395,1
2015,20-29,Watch StarHub TV,395,0.8
2015,20-29,Access media-related apps and websites,395,96.2
2015,20-29,Access non-media-related apps and websites,395,96.2
2015,20-29,Watch videos,395,13.4
2015,20-29,Watch movies,395,7.1
2015,20-29,Access news,395,44.6
2015,20-29,Read magazines,395,0.5
2015,20-29,Listen to the radio,395,11.9
2015,20-29,Play video games,395,22.8
2015,20-29,Read books,395,3.3
2015,20-29,Listen to music,395,59.5
2015,30-39,Watch MediaCorp TV,414,9.7
2015,30-39,Watch Singtel TV,414,1.9
2015,30-39,Watch StarHub TV,414,1.4
2015,30-39,Access media-related apps and websites,414,89.1
2015,30-39,Access non-media-related apps and websites,414,88.6
2015,30-39,Watch videos,414,10.4
2015,30-39,Watch movies,414,4.6
2015,30-39,Access news,414,41.1
2015,30-39,Read magazines,414,1.2
2015,30-39,Listen to the radio,414,8.9
2015,30-39,Play video games,414,15.9
2015,30-39,Read books,414,4.8
2015,30-39,Listen to music,414,37.4
2015,40-49,Watch MediaCorp TV,422,6.9
2015,40-49,Watch Singtel TV,422,0.7
2015,40-49,Watch StarHub TV,422,1.4
2015,40-49,Access media-related apps and websites,422,77.7
2015,40-49,Access non-media-related apps and websites,422,74.4
2015,40-49,Watch videos,422,6.9
2015,40-49,Watch movies,422,2.4
2015,40-49,Access news,422,29.4
2015,40-49,Read magazines,422,1.4
2015,40-49,Listen to the radio,422,9.2
2015,40-49,Play video games,422,14.2
2015,40-49,Read books,422,3.1
2015,40-49,Listen to music,422,26.5
2015,50-59,Watch MediaCorp TV,407,4.7
2015,50-59,Watch Singtel TV,407,0.5
2015,50-59,Watch StarHub TV,407,0.5
2015,50-59,Access media-related apps and websites,407,59.2
2015,50-59,Access non-media-related apps and websites,407,51.6
2015,50-59,Watch videos,407,4.9
2015,50-59,Watch movies,407,2
2015,50-59,Access news,407,17.4
2015,50-59,Read magazines,407,0.2
2015,50-59,Listen to the radio,407,5.2
2015,50-59,Play video games,407,8.6
2015,50-59,Read books,407,0.7
2015,50-59,Listen to music,407,14.3
2015,60-65,Watch MediaCorp TV,174,3.4
2015,60-65,Watch Singtel TV,174,0
2015,60-65,Watch StarHub TV,174,1.1
2015,60-65,Access media-related apps and websites,174,35.1
2015,60-65,Access non-media-related apps and websites,174,28.7
2015,60-65,Watch videos,174,2.3
2015,60-65,Watch movies,174,0.6
2015,60-65,Access news,174,5.2
2015,60-65,Read magazines,174,0.6
2015,60-65,Listen to the radio,174,3.4
2015,60-65,Play video games,174,8
2015,60-65,Read books,174,0
2015,60-65,Listen to music,174,7.5
